...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
14013,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,289,12924.73988962273,14013
14014,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,289,78086.97016647064,14014
14015,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,150788.6245061673,2020-06-01,1,Incoming Funds,Augustinus Fonden,Augustinus Fonden,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,289,30911.66802376429,14015
14016,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,150788.6245061673,2020-06-01,1,Incoming Funds,Augustinus Fonden,Augustinus Fonden,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72050,289,15832.80557314756,14016
14017,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,150788.6245061673,2020-06-01,1,Incoming Funds,Augustinus Fonden,Augustinus Fonden,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15220,289,40335.95705539974,14017
14018,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,150788.6245061673,2020-06-01,1,Incoming Funds,Augustinus Fonden,Augustinus Fonden,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,289,9047.317470370035,14018
14019,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,150788.6245061673,2020-06-01,1,Incoming Funds,Augustinus Fonden,Augustinus Fonden,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,289,54660.87638348563,14019
14020,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,289,44159.52795621098,14020
14021,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72050,289,22618.29480683977,14021
14022,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15220,289,57622.798674568,14022
